"submission_id","project_name","description","year_range","reference","open_data","contact1","contact2","site_id","latitude","longitude","datasource","investigators","province_iso_code","tree_id","species","meas_no","meas_date","status","dbh_cm","ht_tot_m","sample_id","sample_type","sample_ht_m","sample_diameter_cm","radius_id","cofecha_id","ring_meas_method","crossdating_visual","crossdating_validation","age_corrected","bark_thickness_mm","radius_inside_cm","dtc_measured_mm","dtc_estimated_mm","rw_ystart","rw_yend","comments","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_001","PSEUMEN",,"2020-00-00","Live",72.6,33.7,"X003_101_001","core",,,"X003_101_001",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,26.102,228.62,32.4,1961,2020,,,,,,,,,,,,,,,5.39,5.8,5.85,5.39,4.19,4.91,4.2,5.3,4.52,4.13,4.84,4.89,4.8,5.15,4.9,5.85,5.41,5.6,5.09,4.83,5.67,4.52,5.15,4.45,3.65,4,4.41,4.31,4.62,5.28,4.88,5.5,5.19,4.89,3.49,3.84,2.43,2.08,2.32,2.39,2.2,2.37,2.57,2.28,3.01,2.83,2.54,2.71,2.92,2.61,2.79,2.25,2.49,2.61,1.6,1.69,1.29,1.41,1.33,1.01
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_002","PSEUMEN",,"2020-00-00","Live",51.8,36.4,"X003_101_002","core",,,"X003_101_002",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,21.254,188.34,24.2,1956,2020,,,,,,,,,,5.15,6.45,5.63,6.05,5.38,4.86,4.53,4.81,5.55,5.04,4.06,3.42,4.46,4.36,3.73,3.97,3.31,3.29,3.19,2.87,4.11,2.76,3.81,3.63,3.83,3.34,2.76,2.92,2.84,2.64,2.95,2.57,2.33,1.89,2.58,2.28,2.85,2,2.9,2.19,2.21,1.76,2.2,2.48,2.67,2.5,2.14,1.4,1.3,1.75,1.29,0.94,1.26,1.28,1.66,1.41,1.69,1.93,1.97,1.57,1.38,1,0.88,1.04,1.34
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_003","PSEUMEN",,"2020-00-00","Live",51.3,31.2,"X003_101_003","core",,,"X003_101_003",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,21.599,194.19,21.8,1965,2020,,,,,,,,,,,,,,,,,,,5.75,5.98,5.25,5.67,5.28,5.69,5.9,4.16,3.76,5.1,4.32,5.13,5.17,5.29,4.37,5.44,5.91,4.49,4.25,3.85,3.78,3.36,4.38,4.35,3.67,4.24,3.77,3.99,2.99,4.14,3.16,3.59,2.33,1.89,2.05,2.22,2.75,2.39,2.39,1.96,2.48,2.24,2.23,1.97,2.73,3,2.05,2.05,1.83,2.08,1.43,1.31,1.08,0.96,1.08,1.51
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_004","PSEUMEN",,"2020-00-00","Live",53.2,32.1,"X003_101_004","core",,,"X003_101_004",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,20.978,209.78,,1951,2020,,,,,3.25,3.93,4.77,4.53,4.88,3.6,4.73,4.43,4.84,4.3,4.06,3.92,4.21,4.67,4.39,4.58,4,3.94,3.45,3.29,4.09,3.37,3.56,3.41,3.24,4.28,3.85,4.28,4.41,3.79,5.46,3.97,4.12,3.45,2.84,3.03,3.64,2.97,2.63,3.15,2.98,3.66,3.05,3.45,2.12,1.95,1.3,1.28,1.49,1.71,1.86,1.93,1.79,1.49,1.87,1.4,1.25,1.45,1.66,1.93,1.93,1.5,1.48,1.76,1.25,1.64,1.22,0.72,0.69,0.66
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_005","PSEUMEN",,"2020-00-00","Live",47,34.2,"X003_101_005","core",,,"X003_101_005",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,17.487,174.87,,1951,2020,,,,,1.95,2.18,1.96,3.65,5.92,3.71,6.64,6.31,5.31,4.81,4.8,3.79,5.23,4.59,3.48,3.16,3.02,2.68,3.87,3.45,3.42,2.6,2.74,2.51,2.73,2.62,2.71,2.98,2.68,3.54,2.81,2.37,3.11,3.03,2.23,2.15,2.51,2.63,1.69,2.28,1.88,1.96,2.04,2.39,1.89,1.86,1.43,0.84,1.23,1.33,1.25,1.21,1.16,0.96,1.17,1.17,1.01,1.13,1.34,1.81,1.14,1.38,1.13,1.34,1.23,1.02,0.91,1.52,0.93,1.36
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_006","PSEUMEN",,"2020-00-00","Live",51.8,34,"X003_101_006","core",,,"X003_101_006",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,16.707,167.07,,1952,2020,,,,,,4.26,3.66,3.96,4.61,4.2,6.37,3.48,3.88,4.15,3.94,5.36,4.74,5.02,4.02,4.02,4.3,3.92,3.24,3.01,3.05,2.88,2.88,2.88,2.31,2.96,2.65,3.15,2.63,3.16,2.9,2.37,2.27,1.99,1.8,1.21,1.78,1.91,1.57,1.72,1.61,1.59,1.42,2.02,1.59,1.78,1.44,1.12,0.93,1.1,1.35,1.23,1.02,1.02,1.31,1.51,1.11,1.49,1.27,1.49,1.29,1.3,1.07,1.14,1.53,1.49,0.95,0.99,0.79,0.91
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_007","PSEUMEN",,"2020-00-00","Live",49.2,41.4,"X003_101_007","core",,,"X003_101_007",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,18.087,159.87,21,1955,2020,,,,,,,,,5.09,4.34,4.02,3.94,4.3,3.99,3.45,3.44,3.05,2.79,3.35,4.16,3.11,3.45,3.14,2.42,3.13,2.57,2.74,2.94,2.74,3.36,2.87,3.23,3.03,3.33,3.82,2.69,2.37,2.06,1.67,1.83,2.18,2.1,1.95,1.82,1.72,1.95,1.82,2.08,1.72,1.82,1.76,1.68,1.55,1.68,1.53,1.51,1.72,1.7,1.75,1.68,1.59,1.6,1.5,1.59,1.93,1.85,1.85,1.78,1.42,1.25,1.13,1.42,1.38,1.44
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X003b",48.966563,-123.933727,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X003_101_008","PSEUMEN",,"2020-00-00","Live",39.3,27,"X003_101_008","core",,,"X003_101_008",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,10.069,100.69,,1967,2020,,,,,,,,,,,,,,,,,,,,,2.14,2.95,2.36,2.27,3.27,2.3,2.37,2.74,2.5,3.07,2.33,2.61,1.93,2.5,2.92,2.11,2.46,2.05,1.77,2.64,2.59,2.29,1.69,1.99,2.27,2.32,2.21,2.79,1.97,2.07,2.01,1.76,1.84,2.27,1.91,1.39,1.33,1.1,1.43,1.12,0.96,1.03,0.98,1.47,1.12,1.24,1.08,0.81,0.84,0.91,0.67,0.61,0.58,0.75
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X004b",49.057549,-123.995199,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X004_101_001","PSEUMEN",,"2020-00-00","Live",45.6,39.1,"X004_101_001","core",,,"X004_101_001",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,19.557,164.77,30.8,1965,2020,,,,,,,,,,,,,,,,,,,3.76,3.06,4,5.51,4.47,5.42,4.78,4.1,3.79,3.82,4.17,4.04,3.02,3.29,3.81,4.71,4.09,3.42,3.23,3.19,2.79,3.09,3.42,3.6,2.36,2.29,2.75,3.14,2.94,2.51,2.51,2.23,3.23,2.32,2.15,3.16,2.22,1.93,2.08,2.48,3.22,2.48,3.31,2.57,1.76,3.05,2.53,2.3,1.76,1.49,1.04,1.3,1.19,1.24,1.23,1.42
21,"Douglas-fir retrospective monitoring","Evaluating and optimizing stand selection criteria with retrospective monitoring in fertilized coastal Douglas-fir stands","1919 ; 2020","Hember, R.A.; Axelson, J.N.; Jang, W. Evaluating Coastal Douglas Fir Growth Responses to Nitrogen Application Using Tree Ring Chronologies. Forests 2024, 15, 13. https://doi.org/10.3390/f15010013",TRUE,"Robert.Hember@gov.bc.ca","Jodi.Axelson@gov.bc.ca","X004b",49.057549,-123.995199,"others","Hember, R.A.; Axelson, J.N.; Jang, W.","CA-BC","X004_101_002","PSEUMEN",,"2020-00-00","Live",73.9,44.8,"X004_101_002","core",,,"X004_101_002",,"CooRecorder",TRUE,"CDENDRO & COFECHA",,,25.005,250.05,,1958,2020,,,,,,,,,,,,9.8,6.91,9.37,7.56,8.01,8.52,8.07,5.85,6.2,5.56,6.51,6.06,5.67,4.17,2.97,3.98,4.07,4.85,5.61,4.98,4.33,3.7,4.87,5.08,3.94,3.68,3.82,3.07,2.65,3.53,3.41,3.53,4.02,4.23,3.41,3.3,3.34,2.46,3.39,3.13,2.95,2.63,2.98,2.52,2.55,2.12,2.29,2.62,2.6,2.46,2.82,2.69,3.06,2.62,2.52,2.33,2,1.44,1.22,1.1,1.33,1.76,1.83
