"site_id","year","FFD"
"X005a",1951,40.8839779
"X005a",1952,36.81318681
"X005a",1953,14.36464088
"X005a",1954,31.49171271
"X005a",1955,25.96685083
"X005a",1956,30.76923077
"X005a",1957,34.25414365
"X005a",1958,8.287292818
"X005a",1959,20.99447514
"X005a",1960,28.02197802
"X005a",1961,17.67955801
"X005a",1962,34.80662983
"X005a",1963,20.99447514
"X005a",1964,24.17582418
"X005a",1965,37.56906077
"X005a",1966,22.09944751
"X005a",1967,18.2320442
"X005a",1968,16.48351648
"X005a",1969,27.62430939
"X005a",1970,4.972375691
"X005a",1971,14.91712707
"X005a",1972,25.27472527
"X005a",1973,14.91712707
"X005a",1974,13.25966851
"X005a",1975,14.36464088
"X005a",1976,15.93406593
"X005a",1977,18.2320442
"X005a",1978,20.44198895
"X005a",1979,30.38674033
"X005a",1980,24.72527473
"X005a",1981,8.287292818
"X005a",1982,27.62430939
"X005a",1983,13.8121547
"X005a",1984,20.87912088
"X005a",1985,38.67403315
"X005a",1986,27.0718232
"X005a",1987,9.392265193
"X005a",1988,19.78021978
"X005a",1989,29.28176796
"X005a",1990,10.49723757
"X005a",1991,25.96685083
"X005a",1992,10.43956044
"X005a",1993,33.14917127
"X005a",1994,15.46961326
"X005a",1995,20.99447514
"X005a",1996,27.47252747
"X005a",1997,23.75690608
"X005a",1998,10.49723757
"X005a",1999,12.15469613
"X005a",2000,12.63736264
"X005a",2001,23.20441989
"X005a",2002,20.44198895
"X005a",2003,11.60220994
"X005a",2004,15.38461538
"X005a",2005,14.91712707
"X005a",2006,17.12707182
"X005a",2007,18.78453039
"X005a",2008,25.82417582
"X005a",2009,22.09944751
"X005a",2010,9.944751381
"X005a",2011,17.12707182
"X005a",2012,16.48351648
"X005a",2013,7.182320442
"X005a",2014,11.04972376
"X005a",2015,8.839779006
"X005a",2016,9.340659341
"X005a",2017,22.6519337
"X005a",2018,14.36464088
"X005c",1951,40.8839779
"X005c",1952,36.81318681
"X005c",1953,14.36464088
"X005c",1954,31.49171271
"X005c",1955,25.96685083
"X005c",1956,30.76923077
"X005c",1957,34.25414365
"X005c",1958,8.287292818
"X005c",1959,20.99447514
"X005c",1960,28.02197802
"X005c",1961,17.67955801
"X005c",1962,34.80662983
"X005c",1963,20.99447514
"X005c",1964,24.17582418
"X005c",1965,37.56906077
"X005c",1966,22.09944751
"X005c",1967,18.2320442
"X005c",1968,16.48351648
"X005c",1969,27.62430939
"X005c",1970,4.972375691
"X005c",1971,14.91712707
"X005c",1972,25.27472527
"X005c",1973,14.91712707
"X005c",1974,13.25966851
"X005c",1975,14.36464088
"X005c",1976,15.93406593
"X005c",1977,18.2320442
"X005c",1978,20.44198895
"X005c",1979,30.38674033
"X005c",1980,24.72527473
"X005c",1981,8.287292818
"X005c",1982,27.62430939
"X005c",1983,13.8121547
"X005c",1984,20.87912088
"X005c",1985,38.67403315
"X005c",1986,27.0718232
"X005c",1987,9.392265193
"X005c",1988,19.78021978
"X005c",1989,29.28176796
"X005c",1990,10.49723757
"X005c",1991,25.96685083
"X005c",1992,10.43956044
"X005c",1993,33.14917127
"X005c",1994,15.46961326
"X005c",1995,20.99447514
"X005c",1996,27.47252747
"X005c",1997,23.75690608
"X005c",1998,10.49723757
"X005c",1999,12.15469613
"X005c",2000,12.63736264
"X005c",2001,23.20441989
"X005c",2002,20.44198895
"X005c",2003,11.60220994
"X005c",2004,15.38461538
"X005c",2005,14.91712707
"X005c",2006,17.12707182
"X005c",2007,18.78453039
"X005c",2008,25.82417582
"X005c",2009,22.09944751
"X005c",2010,9.944751381
"X005c",2011,17.12707182
"X005c",2012,16.48351648
"X005c",2013,7.182320442
"X005c",2014,11.04972376
"X005c",2015,8.839779006
"X005c",2016,9.340659341
"X005c",2017,22.6519337
"X005c",2018,14.36464088
"X010c",1951,40.8839779
"X010c",1952,36.81318681
"X010c",1953,14.36464088
"X010c",1954,31.49171271
"X010c",1955,25.96685083
"X010c",1956,30.76923077
"X010c",1957,34.25414365
"X010c",1958,8.287292818
"X010c",1959,20.99447514
"X010c",1960,28.02197802
"X010c",1961,17.67955801
"X010c",1962,34.80662983
"X010c",1963,20.99447514
